brand, product_name, shipping
"LG Electronics" , "LG 34UC98-W 34\" Curved FreeSync IPS Monitor 3440 x 1440 WQHD 5ms 21:9 UltraWide On-Screen Control with 4-way Screen Split, Thunderbolt 2.0 and USB 3.0 Quick Charge", ""
"LG Electronics" , "LG 34UM64-P Black 34\" 5ms(GTG) IPS 21:9 UltraWide LED Backlight LCD Multi-Tasking Monitor, 2560x1080 (2K), 60Hz Refresh Rate,sRGB 99% Anti-glare 3H Surface, 4-Way Screen-Spilt with Built-in Speaker", "Free Shipping"
"BenQ" , "BenQ XR3501 Black 35\" 144 Hz 4ms (GTG), 21:9 Ultra Wide Curve 2560 x 1080 LED Backlight Gaming Professional Monitor, 2000:1, 3 Exclusive Game Modes", "Free Shipping"
"LG Electronics" , "LG 25UM56-P 25\" Class 21:9 UltraWide IPS Gaming Monitor 2560 x 1080 5ms GTG 60Hz 5,000,000:1 Contrast Ratio with Black Stabilizer and Dynamic Action Link, SRGB Over 99% and 4-Screen Split", "Free Shipping"
"LG Electronics" , "LG 29UB55-B Black 29\" 5ms (GTG) IPS 21:9 UltraWide IPS LED Backlight LCD Monitor, 2560 x 1080 (2K), sRGB 100% Anti-glare 3H Surface Treatment, 178/178 Viewing Angle with Built in Speakers", "Free Shipping"
"LG Electronics" , "LG 34UC87M-B Black 34\" 5m (GTG) Curved Monitor 300 cd/m2 IPS Panel HDMI/ Thunderbolt ports DCR Mega Infinity", "Free Shipping"
"LG Electronics" , "LG 29UM67-P Black 29\" 5ms (GTG) Widescreen LED Backlight LCD Monitor IPS Built-in Speakers", "Free Shipping"
"LG Electronics" , "LG 34UB67-B  Black 34’’ 5ms HDMI DisplayPort 21:9 UltraWide IPS Panel LED Backlight LCD Monitor, DVI, HDMI, DisplayPort, Built-in Speakers 300 cd/m2 1,000:1", "Free Shipping"
"AOC Monitors" , "AOC U3477PQU 34\" LED Backlight Large Format Monitor IPS Built-in Speakers", "$4.99 Shipping"
"NEC Display Solutions" , "NEC Display Solutions EA294WMi-BK Black 29\" 6ms Widescreen LED Backlight LCD Monitor IPS Built-in Speakers", "$3.99 Shipping"
