name,bio,sponsers,insta-followers,insta-rank,yt-views,yt-rank,funded,paid,backers
Aaron Suski,"Regular,   Tucson USA","Zoo York, Volcom, Emerica, Indy, Satori.",,,,,$0,$0,0
Adam Voss,"Goofy,  Age 30,  Epson GBR",The Boardroom.,707,"2,721",0,0,$0,$0,0
Aleksandar Štefulj,"Regular,  Age 18,  Belgrade SRB",Kobazz skateshop.,497,"3,018",0,0,$0,$0,0
Borja Saez,ESP,None.,,,,,$0,$0,0
Alex Romero,"Goofy,  Age 22,  Sterling USA",None.,,,,,$0,$0,0
Muhammad Noor Hafiz Omar,"Regular,  Age 20,  Banting MYS","Karatisme, Hellbent Skateboarding.","1,353","1,998",0,0,$0,$0,0
Abner Lira Montes,MEX,None.,,,,,$0,$0,0
Brayan Osorio,"Goofy,  Age 22,  Itagui COL","Black Pool, Rodeo Skateboarding.",,,,,$0,$0,0
Andy Walker,"Regular,  Age 39,  Adelaide AUS",Clowd Distribution.,"1,813","1,699",0,0,$0,$0,0
Lucas Xaparral,"Goofy,  Age 29,  Sao Paulo BRA","Moutain Dew, Element, Vans, Indy, Bolovo, Loja Sam.","63,192",210,"82,486",607,$0,$0,0
Wesley Otero,"Regular,  Age 19,  Miami Beach USA",Underground Skills Skate Shop.,"8,930",803,0,0,$0,$0,0
Zhao Xu,"Goofy,  Age 22,  Qingdao CHN","Vans China, Lady Skateboards.",,,,,$0,$0,0
Yan Xing,"Goofy,  Age 31,  Beijing CHN",None.,,,,,$0,$0,0
Alex Ring,"Goofy,  Age 23,  Langenfeld DEU","Peek Skateboards, RVCA, New Era, Spitfire, Thunder Trucks, Made In Skateshop, Skateboardtravel.com.",,,,,$0,$0,0
Ying Xu,"Goofy,  Age 33,  Beijing CHN","Converse, Society Skateboards, ATD Shop, Indy, OJ.",,,,,$0,$0,0
Destin Kramer,"Regular,  Age 23,  JAcksonville USA","Planet BMX, HnB, The Struggle, Hemnasty BMX, Haro Bikes.",,,,,$0,$0,0
Aaron Kirkland,"Goofy,  Age 15,  Tampa USA",None.,,,,,$0,$0,0
Badreddine Lababsi,"Regular,   Agadir MAR","Souljah, Okapi, PCF Skateboards, Pacfic Skateshop.",,,,,$0,$0,0
Chris Klich,"Regular,  Age 33,  Dixie USA","Bacon Skateboards, The Portland Wheel Co, Daddies Boardshop.",,,,,$0,$0,0
Hayden Kelly,"Goofy,   Point Roberts USA","Honey, Expedition, HUF.",,,,,$0,$0,0
Jeremy Kuhn,"Regular,  Age 19,  Fargo USA","Plus Skate Shop, Concrete Death Skateboards.",,,,,$0,$0,0
Gino Körner,"Age 18,  Bremen DEU",None.,,,,,$0,$0,0
Denis Keppler,"Age 28,  Freistett DEU","Jart, Fuckyouself, Fuhrer-Sport.",,,,,$0,$0,0
Dario Xolalpa,"Regular,  Age 17,  Dallas USA",None.,,,,,$0,$0,0
Braydon Knoblauch,"Goofy,  Age 30,  Adelaide AUS",None.,,,,,$0,$0,0
Paja Kobazz,"Goofy,   Belgrade SRB","Put In!, Kobazz Skateshop, Toyota, Ambassadors.",,,,,$0,$0,0
Kamill Kuln,"Regular,  Age 26,  Chicago USA",None.,,,,,$0,$0,0
Jordan Mcmanus,"Goofy,  Age 26,  London USA",None.,,,,,$0,$0,0
Leon Mörmann,"Age 17,  Offenburg DEU",Fuhrersports Offenburg.,,,,,$0,$0,0
Paige Kramer,Quebec CAN,None.,,,,,$0,$0,0
Rysan Marien,Amersfoort NLD,Blackjack Skate Shop.,,,,,$0,$0,0
Taylor Oxford,"Goofy,  Age 18,  Orlando USA","Liquid Force, Heat Swimwear, Peppers, Sun Bum, Monster, Elevated Clothing.","1,648","1,775",71,"1,758",$0,$0,0
Jereme Knibbs,"Goofy,  Age 25,  Tampa USA","Nike SB, Rockstar, Santa Cruz, Bones, #BoardrBoys, Shaqueefa, Thunder, Marinela, Squad Up.","8,507",815,"171,620",482,$0,$0,0
Sabian Miller,"Goofy,  Age 22,  Phoenix USA",None.,,,,,$0,$0,0
Zander Mendez,"Regular,  Age 26,  Montrose USA","BC Surf and Sport, Junktown.",232,"3,426",0,0,$0,$0,0
Kamil Kula,"Regular,  Age 26,  Chicago USA",None.,,,,,$0,$0,0
Zak Miller,"Regular,  Age 28,  Del Mar USA",None.,,,,,$0,$0,0
Zadok Miller,"Goofy,  Age 10,  Santa USA",None.,,,,,$0,$0,0
Zander Mitchel,CAN,None.,,,,,$0,$0,0
Zackary Monson,"Goofy,  Age 19,  Valrico USA",None.,368,"3,220",0,0,$0,$0,0
Zack Martin,"Goofy,  Age 20,   USA",None.,,,,,$0,$0,0
Zack May,"Goofy,  Age 19,  Grand Rapids USA",Premiere.,,,,,$0,$0,0
Zachary Moshier,"Goofy,  Age 14,  Old Hickory USA",None.,20,"3,647",0,0,$0,$0,0
Bray Ortiz,"Goofy,  Age 21,  Lakeland USA",None.,,,,,$0,$0,0
Zachary Malinosky,"Regular,  Age 22,  Baton Rouge USA",None.,,,,,$0,$0,0
Vitor Martins,"Regular,  Age 29,  Itabiva BRA",None.,,,,,$0,$0,0
Zachary Moyer,"Regular,  Age 19,  Saint Cloud USA",None.,,,,,$0,$0,0
Zach Moyer,"Goofy,  Age 19,  Palm Bay USA",None.,"6,444",927,0,0,$0,$0,0
Zack Miyamoto,"Regular,  Age 24,  Davisburg USA","Exodus Ride Shop, Wub Wheels.","1,462","1,906",0,0,$0,$0,0
Zach Mayer,"Age 19,  St. Cloud USA",Gawk.,,,,,$0,$0,0
Zach Mitchell,"Regular,  Age 21,  Monroe USA",None.,,,,,$0,$0,0
Zach McBride,USA,None.,,,,,$0,$0,0
Zach Montez,"Goofy,  Age 10,  New Braunfels USA","Ronix, The Foundry, Midys and Merchants.",76,"3,601",0,0,$0,$0,0
Zach Mays,"Regular,  Age 17,  North Port USA",Wolf Brand.,690,"2,744",0,0,$0,$0,0
Zach Margate,"Regular,  Age 22,  Charleston USA",None.,568,"2,930",0,0,$0,$0,0
Zachary Meyers,"Regular,  Age 13,  Dicky Beach AUS",None.,232,"3,426",0,0,$0,$0,0
Yonis Molina,"Regular,  Age 29,  Port Richey USA","Cliche, Bones, Royal, Westside, Supra, Diamond, Shake Junt.","1,997","1,622","22,550",885,$0,$0,0
Yohei Miyazawa,"Regular,  Age 29,  Las Vegas USA","Pharmacy, Team BK, Iron Horse Wheels.","
                ",,,,$0,$0,0
Yariel Melendez,"Regular,  Age 26,  Bayamon PUR","DC Shoes (flow), Sector 9, Kokomo, Electric.","7,041",889,0,0,$0,$0,0
Zac Miner,Canberra AUS,None.,,,,,$0,$0,0
Zac Mayo,"Regular,  Age 22,  Warner Robins USA",None.,,,,,$0,$0,0
Xuly McCoy,"Age 18,  Den Haag NLD",Skate Deluxe.,,,,,$0,$0,0
Zach Moore,"Goofy,  Age 27,  Brookyln USA","Labor, Bones.",,,,,$0,$0,0
Xu Ming Jie,"Regular,  Age 26,   TWN","Jimi Skate Shop, Macho Skathing.",,,,,$0,$0,0
Xeno Miller,"Regular,  Age 32,  Portland USA","Shrunken Head, Coda Skateboards, Jaivaro Wheels.",,,,,$0,$0,0
Zack Miskowiec,"Regular,  Age 21,  Minneapolis USA",None.,,,,,$0,$0,0
Xavier Miller,"Regular,  Age 20,  Deerfield Beach USA",Shoutout to Ramp 48.,167,"3,506",0,0,$0,$0,0
Xavier Maldonado,"Goofy,  Age 24,  Cayey PUR","RVCA, Kahloa Skate Shop, Die Hard Hardware.",,,,,$0,$0,0
Wyatt Moore,"Goofy,  Age 7,  Austin USA",None.,,,,,$0,$0,0
Willow McCarty,"Regular,   Scottsdale USA",None.,,,,,$0,$0,0
Zach Miller,"Regular,  Age 28,  Cardiff USA","DC, Spitfire, Thunder, Nixon, Stance, Transportation Unit, GoPro, Swiss, Quicksliver.","
                ","
                ",,,$0,$0,0
William Matthews,"Goofy,  Age 12,  Virginia Beach USA",None.,,,,,$0,$0,0
William Mok,USA,None.,,,,,$0,$0,0
Will Morton,"Regular,  Age 11,  Seattle USA","Element (flow), BELL Helmets, Tactics, Viable Co. Chronic Tech, Lume Cube (flow).","10,975",708,243,"1,671",$0,$0,0
Kaloe Kaaikala,"Regular,  Age 25,  Sydney AUS","U.P.S, Converse Cons.",,,,,$0,$0,0
Will Marshall,"Goofy,  Age 24,  Cornwall CAN","Lakai, Element Canada, Spitfire, Top of the World.",,,,,$0,$0,0
Xavier Molina,"Regular,  Age 20,  Sacramento USA",None.,,,,,$0,$0,0
Will Myers,"Regular,  Age 19,  Columbus USA",None.,,,,,$0,$0,0
Wing Meng,MYS,None.,,,,,$0,$0,0
Wil Mann,"Regular,  Age 12,  Woronora AUS",None.,769,"2,626",0,0,$0,$0,0
Werner Matthee,ZAF,None.,,,,,$0,$0,0
Wayne Mpala,ZAF,None.,,,,,$0,$0,0
